Start,End,W
Таганско-Краснопресненская_Тушинская,Таганско-Краснопресненская_Сходненская,10
Таганско-Краснопресненская_Сходненская,Таганско-Краснопресненская_Планерная,10
Калининско-Солнцевская_Новокосино,Калининско-Солнцевская_Новогиреево,10
Калининско-Солнцевская_Новогиреево,Калининско-Солнцевская_Перово,10
Калининско-Солнцевская_Перово,Калининско-Солнцевская_Шоссе-Энтузиастов,10
Калининско-Солнцевская_Шоссе-Энтузиастов,Центральное-Кольцо_Шоссе-Энтузиастов,1
Калининско-Солнцевская_Шоссе-Энтузиастов,Калининско-Солнцевская_Авиамоторная,10
Калининско-Солнцевская_Авиамоторная,Некрасовская_Авиамоторная,1
Калининско-Солнцевская_Авиамоторная,Калининско-Солнцевская_Площадь-Ильича,10
Калининско-Солнцевская_Площадь-Ильича,Люблинско-Дмитровская_Римская,1
Калининско-Солнцевская_Площадь-Ильича,МЦД-2_Москва-Товарная,1
Калининско-Солнцевская_Площадь-Ильича,Калининско-Солнцевская_Марксистская,10
Калининско-Солнцевская_Марксистская,Таганско-Краснопресненская_Таганская,1
Калининско-Солнцевская_Марксистская,Кольцевая_Таганская,1
Калининско-Солнцевская_Марксистская,Калининско-Солнцевская_Третьяковская,10
Калининско-Солнцевская_Третьяковская,Калужско-Рижская_Третьяковская,1
Калининско-Солнцевская_Третьяковская,Замоскворецкая_Новокузнецкая,1
Калининско-Солнцевская_Третьяковская,Калининско-Солнцевская_Деловой-центр,10
Калининско-Солнцевская_Деловой-центр,Большая-Кольцевая-Линия_Деловой-центр,1
Калининско-Солнцевская_Деловой-центр,Филевская_Выставочная,1
Калининско-Солнцевская_Деловой-центр,Калининско-Солнцевская_Парк-Победы,10
Калининско-Солнцевская_Парк-Победы,Арбатско-Покровская_Парк-Победы,1
Калининско-Солнцевская_Парк-Победы,Калининско-Солнцевская_Минская,10
Калининско-Солнцевская_Минская,Калининско-Солнцевская_Ломоносовский-проспект,10
Калининско-Солнцевская_Ломоносовский-проспект,Калининско-Солнцевская_Раменки,10
Калининско-Солнцевская_Раменки,Калининско-Солнцевская_Мичуринский-проспект,10
Калининско-Солнцевская_Мичуринский-проспект,Калининско-Солнцевская_Озёрная,10
Калининско-Солнцевская_Озёрная,Калининско-Солнцевская_Говорово,10
Калининско-Солнцевская_Говорово,Калининско-Солнцевская_Солнцево,10
Калининско-Солнцевская_Солнцево,Калининско-Солнцевская_Боровское-шоссе,10
Калининско-Солнцевская_Боровское-шоссе,Калининско-Солнцевская_Новопеределкино,10
Калининско-Солнцевская_Новопеределкино,Калининско-Солнцевская_Рассказовка,10
Серпуховско-Тимирязевская_Бульвар-Дмитрия-Донского,Бутовская_Улица-Старокачаловская,1
Серпуховско-Тимирязевская_Бульвар-Дмитрия-Донского,Серпуховско-Тимирязевская_Аннино,10
Серпуховско-Тимирязевская_Аннино,Серпуховско-Тимирязевская_Улица-академика-Янгеля,10
Серпуховско-Тимирязевская_Улица-академика-Янгеля,Серпуховско-Тимирязевская_Пражская,10
